X,Y,Z,S1,S2,S3,S4,S5,S6,S7
-800.00,0.00,0.00,-0.00,992.78,993.64,993.59,992.51,994.68,996.58
-700.00,0.00,0.00,-0.00,992.82,993.68,993.65,992.55,994.75,996.62
-600.00,0.00,0.00,1033.56,992.82,993.70,993.67,992.56,994.76,996.64
-500.00,0.00,0.00,976.73,992.88,993.74,993.68,992.58,994.80,996.66
-400.00,0.00,0.00,1018.64,992.88,993.75,993.72,992.61,994.84,996.69
-300.00,0.00,0.00,-0.00,992.89,993.77,993.71,992.62,994.83,996.69
-200.00,0.00,0.00,-0.00,992.90,993.77,993.72,992.66,994.83,996.72
-100.00,0.00,0.00,976.81,992.93,993.77,993.71,992.63,994.84,996.71
0.00,0.00,0.00,976.80,993.01,993.81,993.77,992.68,994.90,996.74
100.00,0.00,0.00,976.80,993.00,993.80,993.74,992.69,994.88,996.74
200.00,0.00,0.00,976.80,993.00,993.77,993.73,992.68,994.89,996.74
300.00,0.00,0.00,-0.00,993.04,993.80,993.73,992.69,994.93,996.74
400.00,0.00,0.00,-0.00,993.04,993.85,993.76,992.71,994.92,996.75
500.00,0.00,0.00,976.85,993.05,993.86,993.81,992.78,994.98,996.79
600.00,0.00,0.00,976.82,993.04,993.85,993.82,992.76,994.97,996.76
-800.00,-500.00,-300.00,976.95,993.26,993.93,993.71,992.66,995.05,996.89
-800.00,0.00,-300.00,-0.00,993.05,993.90,993.90,992.85,995.02,996.82
-800.00,500.00,-300.00,-0.00,993.21,993.85,993.72,992.76,995.14,996.90
-800.00,500.00,0.00,977.03,993.29,993.98,993.79,992.73,995.12,996.97
-800.00,0.00,0.00,977.05,993.14,993.97,993.96,992.87,995.10,996.99
-800.00,-500.00,0.00,977.01,993.26,993.96,993.83,992.79,995.14,996.95
-800.00,-500.00,300.00,-0.00,993.15,993.98,993.92,992.85,995.06,996.99
-800.00,0.00,300.00,977.04,993.10,994.01,993.96,992.85,995.04,996.98
-800.00,500.00,300.00,-0.00,993.19,993.97,993.86,992.84,995.12,997.03
-800.00,0.00,-400.00,-0.00,991.78,992.31,992.15,991.12,993.53,993.48
-800.00,0.00,-380.00,43663.27,993.10,993.77,993.58,992.51,994.86,996.47
-800.00,0.00,-360.00,43663.62,993.23,994.16,994.06,992.70,994.82,996.85
-800.00,0.00,-340.00,-0.00,993.26,994.26,994.15,992.77,994.90,996.94
-800.00,0.00,-320.00,1033.86,993.20,994.12,994.06,992.88,995.05,996.96
-800.00,0.00,320.00,-0.00,993.16,994.08,994.03,992.93,995.09,997.08
-800.00,0.00,340.00,-0.00,993.22,994.07,994.05,992.95,995.12,997.11
-800.00,0.00,360.00,977.11,993.18,994.01,993.96,992.86,995.08,997.05
-800.00,0.00,380.00,977.06,993.10,994.01,994.00,992.86,994.97,997.00
-800.00,0.00,400.00,973.43,991.33,992.57,992.70,991.31,993.02,993.29
-800.00,-650.00,0.00,-0.00,991.28,992.19,992.41,991.51,993.65,993.40
-800.00,-630.00,0.00,-0.00,993.12,993.78,993.77,992.90,995.27,996.95
-800.00,-610.00,0.00,977.10,993.27,993.92,993.81,992.95,995.34,997.04
-800.00,-590.00,0.00,977.15,993.33,993.98,993.84,992.93,995.30,997.09
-800.00,-570.00,0.00,977.15,993.37,994.00,993.84,992.91,995.34,997.09
-800.00,570.00,0.00,-0.00,993.41,994.11,993.91,992.85,995.23,997.10
-800.00,590.00,0.00,977.18,993.42,994.13,993.96,992.88,995.19,997.13
-800.00,610.00,0.00,977.09,993.39,994.14,993.95,992.79,995.10,997.03
-800.00,630.00,0.00,976.56,993.25,994.01,993.76,992.30,994.64,996.49
-800.00,650.00,0.00,1029.52,991.39,992.32,992.11,990.68,992.65,992.52
0.00,-500.00,-300.00,1033.95,993.45,994.02,993.83,992.82,995.30,997.04
0.00,0.00,-300.00,1033.88,993.25,993.98,993.96,992.95,995.25,996.97
0.00,500.00,-300.00,977.09,993.43,994.00,993.82,992.87,995.33,997.03
0.00,500.00,0.00,977.14,993.43,994.05,993.92,992.92,995.33,997.08
0.00,0.00,0.00,-0.00,993.29,994.05,994.02,992.99,995.26,997.05
0.00,-500.00,0.00,1033.99,993.43,994.03,993.93,992.92,995.31,997.09
0.00,-500.00,300.00,977.12,993.22,994.00,994.00,992.93,995.19,997.06
0.00,0.00,300.00,-0.00,993.27,994.05,994.04,992.97,995.20,997.07
0.00,500.00,300.00,43663.79,993.33,993.99,993.88,992.81,995.15,997.01
0.00,0.00,-380.00,0.00,992.41,992.97,992.82,991.75,994.11,994.78
0.00,0.00,-360.00,1032.60,992.89,993.40,993.24,992.16,994.53,995.66
0.00,0.00,-340.00,1033.32,993.18,993.77,993.61,992.53,994.88,996.40
0.00,0.00,-320.00,976.94,993.31,994.00,993.90,992.85,995.18,996.87
0.00,0.00,-300.00,977.10,993.36,994.01,994.00,993.02,995.32,997.04
0.00,0.00,300.00,-0.00,993.32,994.07,994.06,993.01,995.26,997.14
0.00,0.00,320.00,-0.00,993.21,994.03,994.01,992.95,995.16,997.01
0.00,0.00,340.00,-0.00,993.06,993.89,993.95,992.82,994.95,996.74
0.00,0.00,360.00,976.13,992.66,993.56,993.69,992.49,994.51,996.05
0.00,0.00,380.00,-0.00,992.28,993.25,993.41,992.16,994.04,995.25
0.00,-630.00,0.00,-0.00,991.81,992.52,992.69,991.75,993.94,994.33
0.00,-610.00,0.00,-0.00,992.39,993.03,993.12,992.22,994.47,995.35
0.00,-590.00,0.00,1033.19,992.90,993.49,993.51,992.62,994.95,996.27
0.00,-570.00,0.00,-0.00,993.31,993.85,993.79,992.86,995.27,996.88
0.00,-550.00,0.00,977.18,993.47,994.00,993.92,992.99,995.38,997.12
0.00,550.00,0.00,977.29,993.62,994.19,994.06,993.05,995.44,997.24
0.00,570.00,0.00,-0.00,993.55,994.19,994.02,992.96,995.33,997.16
0.00,590.00,0.00,920.02,993.36,993.98,993.84,992.70,995.05,996.81
0.00,610.00,0.00,-0.00,993.07,993.70,993.55,992.32,994.62,996.13
0.00,630.00,0.00,975.32,992.67,993.40,993.18,991.83,994.03,995.23
600.00,-500.00,-300.00,977.06,993.54,993.95,993.77,992.92,995.48,997.00
600.00,0.00,-300.00,977.01,993.52,994.07,993.96,993.02,995.42,996.94
600.00,500.00,-300.00,1033.72,993.58,993.79,993.53,992.69,995.38,996.81
600.00,500.00,0.00,977.16,993.65,994.20,994.12,993.11,995.46,997.10
600.00,0.00,0.00,1034.10,993.62,994.29,994.22,993.30,995.56,997.19
600.00,-500.00,0.00,976.88,993.44,993.99,993.94,992.95,995.26,996.81
600.00,-500.00,300.00,-0.00,993.19,993.98,994.12,993.10,995.23,996.95
600.00,0.00,300.00,976.95,993.31,994.10,994.17,993.05,995.15,996.89
600.00,500.00,300.00,1033.51,993.17,993.94,993.91,992.73,994.87,996.59
600.00,0.00,-380.00,975.36,992.80,993.27,993.10,992.17,994.58,995.26
600.00,0.00,-360.00,975.97,993.19,993.61,993.42,992.46,994.90,995.89
600.00,0.00,-340.00,976.43,993.42,993.86,993.71,992.76,995.16,996.36
600.00,0.00,-320.00,976.85,993.58,994.08,993.94,993.00,995.38,996.78
600.00,0.00,-300.00,1034.02,993.69,994.25,994.11,993.24,995.58,997.11
600.00,0.00,-280.00,-0.00,993.73,994.31,994.20,993.34,995.68,997.28
600.00,0.00,-260.00,977.36,993.73,994.35,994.22,993.38,995.69,997.30
600.00,0.00,260.00,43664.10,993.61,994.39,994.39,993.37,995.51,997.35
600.00,0.00,280.00,977.31,993.56,994.36,994.35,993.30,995.43,997.25
600.00,0.00,300.00,997.05,993.48,994.30,994.29,993.23,995.30,997.05
600.00,0.00,320.00,-0.00,993.28,994.12,994.15,993.05,995.08,996.69
600.00,0.00,340.00,976.42,993.07,994.01,994.05,992.87,994.81,996.35
600.00,0.00,360.00,975.89,992.78,993.74,993.81,992.61,994.49,995.81
600.00,0.00,380.00,975.37,992.51,993.50,993.61,992.34,994.17,995.27
600.00,-630.00,0.00,974.62,992.07,992.73,992.90,992.01,994.21,994.51
600.00,-610.00,0.00,975.04,992.32,992.97,993.07,992.16,994.40,994.94
600.00,-590.00,0.00,975.61,992.68,993.27,993.34,992.44,994.68,995.52
600.00,-570.00,0.00,976.16,993.05,993.57,993.61,992.70,994.98,996.09
600.00,-550.00,0.00,1033.59,993.36,993.90,993.89,992.99,995.31,996.68
600.00,-530.00,0.00,977.09,993.59,994.11,994.07,993.13,995.50,997.03
600.00,-510.00,0.00,977.30,993.74,994.26,994.18,993.24,995.63,997.25
600.00,510.00,0.00,977.53,993.91,994.48,994.33,993.31,995.71,997.48
600.00,530.00,0.00,977.42,993.83,994.40,994.24,993.21,995.60,997.36
600.00,550.00,0.00,977.30,993.82,994.39,994.19,993.12,995.52,997.25
600.00,570.00,0.00,976.97,993.67,994.25,994.06,992.91,995.29,996.91
600.00,590.00,0.00,976.52,993.45,994.02,993.87,992.67,995.01,996.45
600.00,610.00,0.00,976.08,993.24,993.81,993.66,992.36,994.63,995.96
600.00,630.00,0.00,975.50,992.97,993.56,993.40,992.09,994.29,995.36